rank,words,phonetic,coca_speech,WB_speech
1,the,"/ðə before consonant sounds, ði before vowel sounds, ˈðiː when said with emphasis/",a,
2,be,"/ˈbiː/
/ˈæm, əm/
/ˈɑɚ, ɚ/
/ˈız, əz/
/ˈwəz/
/ˈwɚ/
/ˈbın, Brit ˈbiːn/
/ˈbiːjıŋ/",v, verb 
3,and,"/ˈænd, ənd, ən/",c, conj 
4,of,"/ˈʌv, əv, Brit ˈɒv, əv, ə/",i, prep 
7,to,"/ˈtuː, tə/
/ˈtuː/",t," adv 
 prep "
10,it,"/ˈıt, ət/
/ˈıt/",p," noun 
 pronoun "
11,i,/ˈaı/,p, pronoun 
12,that,"/ˈðæt, ðət/
/ˈðoʊz/
/ˈðæt/",c," adj 
 adv 
 conj 
 pronoun "
13,for,"/ˈfoɚ, fɚ/",i," conj 
 prep "
14,you,"/ˈjuː, jə/",p, pronoun 
15,he,"/ˈhiː, i/
/ˈhiː/",p," noun 
 pronoun "
16,with,"/ˈwıθ, ˈwıð/",i, prep 
18,do,"/ˈduː/
/ˈdʌz/
/ˈdıd/
/ˈdʌn/
/ˈduːwıŋ/
/ˈdoʊ/",v," noun 
 verb "
20,this,"/ˈðıs, ðəs/
/ˈðiːz/
/ˈðıs/",d," adj 
 adv 
 pronoun "
21,they,/ˈðeı/,p, pronoun 
22,at,"/ˈæt, ət/",i, prep 
24,we,/ˈwiː/,p, pronoun 
26,from,"/ˈfrʌm, ˈfrɑːm, frəm/",i, prep 
28,not,/ˈnɑːt/,x, adv 
29,n't,,x,
31,she,/ˈʃiː/,p," noun 
 pronoun "
32,or,"/ˈoɚ, ɚ/",c, conj 
34,what,"/ˈwɑːt, ˈwʌt/",d," adj 
 adv 
 pronoun "
35,go,"/ˈgoʊ/
/ˈgoʊz/
/ˈwɛnt/
/ˈgɑːn/
/ˈgowıŋ/",v," noun 
 verb "
36,their,"/ˈðeɚ, ðɚ/",a, adj 
38,who,/ˈhuː/,p, pronoun 
39,get,"/ˈgɛt/
/ˈgɑːt/
/ˈgɑːtn̩/",v, verb 
40,if,/ˈıf/,c," conj 
 noun "
41,would,"/ˈwʊd, wəd, əd/",v, verb 
44,my,/ˈmaı/,a, adj 
45,make,"/ˈmeık/
/ˈmeıd/",v," noun 
 verb "
54,year,/ˈjiɚ/,n, noun 
56,think,"/ˈθıŋk/
/ˈθɑːt/",v," noun 
 verb "
58,which,/ˈwıʧ/,d," adj 
 pronoun "
59,them,"/ˈðɛm, ðəm/",p, pronoun 
61,me,"/ˈmiː/
/ˌɛmˈiː/",p," noun 
 pronoun "
63,take,"/ˈteık/
/ˈtʊk/
/ˈteıkən/",v," noun 
 verb "
65,into,"/ˈıntu, ˈıntə/",i, prep 
67,see,"/ˈsiː/
/ˈsɑː/
/ˈsiːn/
/ˈsiːjıŋ/",v," noun 
 verb "
68,him,"/ˈhım, ım/",p, pronoun 
70,come,"/ˈkʌm/
/ˈkeım/",v," noun 
 verb "
71,could,"/ˈkʊd, kəd/",v, verb 
76,how,/ˈhaʊ/,r," adv 
 conj "
77,then,/ˈðɛn/,r," adj 
 adv 
 noun "
78,its,"/ˈıts, əts/",a, adj 
79,our,"/ˈawɚ, ɑɚ/",a, adj 
80,two,/ˈtuː/,m," adj 
 noun 
 pronoun "
82,these,,d,
87,also,/ˈɑːlˌsoʊ/,r, adv 
90,day,/ˈdeı/,n, noun 
97,thing,/ˈθıŋ/,n, noun 
98,give,"/ˈgıv/
/ˈgeıv/
/ˈgıvən/",v," noun 
 verb "
99,many,/ˈmɛni/,d," adj 
 pronoun "
100,well,"/ˈwɛl/
/ˈbɛtɚ/
/ˈbɛst/",r," adj 
 adv 
 interj 
 noun 
 verb "
101,only,/ˈoʊnli/,r," adj 
 adv 
 conj "
102,those,,d,
103,tell,"/ˈtɛl/
/ˈtoʊld/",v, verb 
104,one,/ˈwʌn/,p," adj 
 noun 
 pronoun "
105,very,/ˈveri/,r," adj 
 adv "
106,her,"/ˈhɚ, ɚ/",p," adj 
 pronoun "
107,even,"/ˈiːvən/
/ˈiːvənnəs/",r," adj 
 adv 
 noun 
 verb "
108,back,"/ˈbæk/
/ˈbækləs/",r," adj 
 adv 
 noun 
 verb "
